,name,url,category,thc,cbd,rating,flavor&aroms,Top effect,description,feelings,negatives,flavors,help with
1248,Crunch Berry Kush,https://images.leafly.com/flower-images/defaults/generic/strain-26.png,Hybrid,,,4.559322033898305,,,"Crunch Berry Kush from Encanto Green Cross is “Chong Certified” hybrid strain that brings blissful relaxation to mind and body. Much like the popular cereal that lends this strain its name, Crunch Berry Kush has a sweet fruity aroma counterbalanced by a hint of spice. ","euphoric,sleepy,relaxed","dry mouth,dry eyes,anxious","berry,sweet,honey","Anxiety
35% of people say it helps with anxiety
Stress
31% of people say it helps with stress
Pain
28% of people say it helps with pain"
1249,Apple Mac,https://images.leafly.com/flower-images/defaults/generic/strain-24.png,Hybrid,18.0,0.0,4.615384615384615,apple,focused,"Apple Mac is a hybrid weed strain. Reviewers on Leafly say this strain makes them feel focused, creative, and aroused. Apple Mac has 18% THC. The dominant terpene in this strain is myrcene. If you've smoked, dabbed, or otherwise enjoyed this strain, Apple Mac, before let us know! Leave a review.","focused,creative,aroused",,"apple,blueberry,diesel","Anxiety
8% of people say it helps with anxiety"
1250,Pineapple Trainwreck,https://images.leafly.com/flower-images/defaults/generic/strain-17.png,Hybrid,17.0,0.0,4.160493827160494,pineapple,talkative,"Bring together the popular clear-headed effects of Pineapple Express and the pain relief qualities of Trainwreck and you get this happy sativa. Pineapple Trainwreck has an earthy aroma and a fruity flavor that usually takes more after its pineapple parent. Long-lasting and potent, this strain hits hard at first, but mellows into a state where being sociable or getting things done is possible. The buzz tends to be more mellow than active, though, so don’t be surprised if verbal activity is all you get around to.","talkative,energetic,creative","paranoid,dry mouth,dry eyes","pineapple,tropical,mango","Stress
39% of people say it helps with stress
Anxiety
33% of people say it helps with anxiety
Pain
31% of people say it helps with pain"
1251,Canna-Tsu,https://images.leafly.com/flower-images/defaults/generic/strain-6.png,Hybrid,4.0,10.0,4.621212121212121,woody,focused,"Canna-Tsu is a hybrid cannabis strain that combines genetics from two CBD-rich parents, Cannatonic and Sour Tsunami. Sweet earthy flavors activate on the exhale, complementing the subtle citrus aroma that radiates from Canna-Tsu’s buds. Because of its high-CBD, low-THC cannabinoid profile, Canna-Tsu delivers its mellow effects with mental clarity. Strains high in CBD like Canna-Tsu are highly demanded by patients treating pain, inflammation, anxiety, and seizures. ","focused,relaxed,sleepy","dry eyes,dry mouth,anxious","woody,spicy/herbal,earthy","Pain
51% of people say it helps with pain
Stress
49% of people say it helps with stress
Anxiety
46% of people say it helps with anxiety"
1252,White Guava,https://images.leafly.com/flower-images/defaults/generic/strain-1.png,Hybrid,,,4.9,,,"If you've smoked, dabbed, or otherwise enjoyed this strain, White Guava, before let us know! Leave a review.","relaxed,tingly,sleepy",,"pear,apricot,tropical","Anxiety
22% of people say it helps with anxiety
Headaches
11% of people say it helps with headaches
Insomnia
11% of people say it helps with insomnia"
1253,Raspberry Cough,https://images.leafly.com/flower-images/defaults/generic/strain-40.png,Sativa,16.0,0.0,4.372093023255814,berry,energetic,"Raspberry Cough is a 70% sativa strain bred by Nirvana Seeds. A cross between a Cambodian landrace and ICE, Raspberry Cough exhibits clear-headed uplifting effects good for productivity.","energetic,uplifted,focused","anxious,dizzy,headache","berry,strawberry,sweet","Depression
27% of people say it helps with depression
Pain
26% of people say it helps with pain
Anxiety
25% of people say it helps with anxiety"
1254,Orange Daiquiri,https://images.leafly.com/flower-images/defaults/purple/strain-1.png,Hybrid,,,4.714285714285714,,,"Orange Daiquiri was bred by Cannarado and popularized by Jungle Boys. This strain crosses Orange Cookies and Grape Pie to give us a sweet citrus aroma with added pine and diesel flavors. It tastes like mandarin liqueur with gas and herbal notes. Flowers grow medium-sized with purple highlights, long orange hairs, and a glittering coat of resin. Orange Daiquiri is a potent strain with a powerful high that comes on strong with deep body relaxation.","giggly,talkative,tingly",,"orange,citrus,diesel","Depression
22% of people say it helps with depression
Stress
22% of people say it helps with stress
Anxiety
22% of people say it helps with anxiety"
1255,Gelato Sorbet,https://images.leafly.com/flower-images/defaults/purple/strain-9.png,Hybrid,,,4.833333333333333,,,"Gelato #33 and Sorbet come together to create Gelato Sorbet (also known as Sherbet Gelato) by DNA genetics as part of their Sorbet lineup. Producing colorful buds that range in color from light green to purple while putting off a tasty dank and fruity profile, Gelato Sorbet’s high is mellow and easy, leaving smokers with a strong sense of contentment.
 ","focused,creative,energetic",,"tar,spicy/herbal,orange","Fatigue
25% of people say it helps with fatigue
ADD/ADHD
25% of people say it helps with add/adhd
Anxiety
25% of people say it helps with anxiety"
1256,Irene OG,https://images.leafly.com/flower-images/defaults/generic/strain-25.png,Hybrid,,,4.553191489361702,,,"Irene OG is a sour-scented hybrid strain that is said to have originated in the United States' Deep South. Its genetics are a mystery to most, but rumor has it that Irene OG descended from California's OG Kush. Hints of its heritage are found in its earthy pine aroma, but this hybrid has a distinctive diesel smell that deviates from the typical OG flavor. The onset begins with a high-energy cerebral buzz and accelerated thoughts. Over time, Irene OG sinks into the rest of the body, balancing physical and mental relief.","creative,relaxed,giggly","dry eyes,paranoid,dry mouth","earthy,diesel,skunk","Anxiety
33% of people say it helps with anxiety
Depression
29% of people say it helps with depression
Stress
26% of people say it helps with stress"
1257,Apricot Jelly,https://images.leafly.com/flower-images/defaults/generic/strain-4.png,Hybrid,20.0,0.0,4.666666666666667,apricot,focused,"Bred by In House Genetics, Apricot Jelly crosses Irene Apricot and Jelly Breath Bx1. This sativa-dominant hybrid has a citrus scent with a tropical taste, resembling apricots.","focused,talkative,energetic",,"apricot,peach,honey","Depression
15% of people say it helps with depression
Anxiety
15% of people say it helps with anxiety
Fatigue
7% of people say it helps with fatigue"
1258,Flo White,https://images.leafly.com/flower-images/defaults/red-orange-amber/strain-2.png,Hybrid,15.0,1.0,4.517241379310345,ammonia,energetic,"Flo White is a sativa-leaning hybrid cannabis strain that showcases the best qualities of its award-winning parent, Flo, and the notorious The White. Flo White is 15% THC, making this strain a good choice for casual and experienced cannabis consumers alike. Flo White imparts a perky, creative, and potent high without drowsiness, making it a perfect companion for on-the-go daytime activities or a night out. If you've smoked, dabbed, or consumed Flo White before, tell us about it by leaving a review. The dominant terpene of this strain is Caryophyllene. buds combine the deep greens and orange pistils of Flo’s genetics with The White’s signature frost. Smokers can expect a subtle citrus aroma with woodsy notes which translate to a smooth smoke.","energetic,tingly,uplifted","anxious,dizzy,paranoid","ammonia,lemon,pepper","Depression
18% of people say it helps with depression
Stress
14% of people say it helps with stress
Anxiety
11% of people say it helps with anxiety"
1259,Alien Rift,https://images.leafly.com/flower-images/defaults/short-dense-heavy/strain-9.png,Indica,19.0,0.0,4.508771929824562,chemical,hungry,"Bred by Ocean Grown Seeds, Alien Rift crosses Alien Abduction, Alien Dawg (""Ether"" cut), and Alien OG, and it was specifically backcrossed for better hash production. Alien Rift is certain to please the senses, with a tart scent of lemon and spice, and buds dense with trichomes. With that much extraterrestrial activity, this strain is out of this world! Use Alien Rift’s laid-back effects to curb stress and manage physical pain. ","hungry,giggly,happy","paranoid,anxious,dry eyes","chemical,earthy,lemon","Stress
45% of people say it helps with stress
Anxiety
43% of people say it helps with anxiety
Pain
33% of people say it helps with pain"
1260,Lemongrass,https://images.leafly.com/flower-images/defaults/generic/strain-20.png,Hybrid,17.0,0.0,4.5,lemon,creative,"Lemongrass, also known as ""Lemon Grass"" and ""Lemon Gas,"" is a hybrid marijuana strain made by crossing Lemon Kush Bx5 and Humboldt Gelato Bx3, Humboldt Seed Company bred Lemongrass, a high-performance cultivar with vigorous growth patterns and high yields. Lemongrass’ terpenes gush a tart lemon flavor that is backed with a gassy fuel taste and notes of vanilla. The lime green buds come drenched in trichomes and the uplifting high will make you get up and get out.","creative,energetic,focused","headache,paranoid,dry mouth","lemon,menthol,coffee","Stress
14% of people say it helps with stress
Anxiety
14% of people say it helps with anxiety
Hypertension
14% of people say it helps with hypertension"
1261,Chaos Kush,https://images.leafly.com/flower-images/defaults/short-dense-heavy/strain-15.png,Indica,21.0,1.0,4.589743589743589,blue cheese,euphoric,"Chaos Kush is a heavy indica-dominant weed strain bred by the award-winning Elemental Seeds and is a cross of Trueberry and Abba Zabba. Chaos Kush is 21% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Chaos Kush effects make them feel relaxed and sleepy. Medical marijuana patients often choose Chaos Kush when dealing with symptoms associated with insomnia, chronic pain, and depression. The dominant terpene of this strain is Caryophyllene and features a fruity, piney aroma and a flavor profile that is earthy with a strong lemon tang. If you’ve smoked, dabbed, or consumed Chaos Kush, tell us about your experience by leaving a strain review.","euphoric,aroused,creative","dry eyes,dry mouth,dizzy","blue cheese,citrus,cheese","Anxiety
23% of people say it helps with anxiety
PTSD
14% of people say it helps with ptsd
Depression
11% of people say it helps with depression"
1262,Wedding Punch,https://images.leafly.com/flower-images/defaults/generic/strain-15.png,Hybrid,,,4.470588235294118,,,"Wedding Punch is a hybrid weed strain made by crossing Wedding Cake and Purple Punch. Reviewers on Leafly say this strain makes them feel focused, talkative, and creative. If you've smoked, dabbed, or otherwise enjoyed this strain, Wedding Punch, before let us know! Leave a review.","focused,talkative,creative",,"grapefruit,berry,grape","Depression
29% of people say it helps with depression
Stress
17% of people say it helps with stress
Anxiety
17% of people say it helps with anxiety"
1263,Hell Cat,https://images.leafly.com/flower-images/defaults/generic/strain-8.png,Hybrid,,,4.714285714285714,,,"If you've smoked, dabbed, or otherwise enjoyed this strain, Hell Cat, before let us know! Leave a review.","uplifted,focused,energetic",,"pear,chestnut,apricot","Depression
40% of people say it helps with depression
Bipolar disorder
40% of people say it helps with bipolar disorder
Fatigue
20% of people say it helps with fatigue"
1264,Chemo,https://images.leafly.com/flower-images/defaults/short-dense-heavy/strain-8.png,Indica,27.0,0.0,4.420408163265306,woody,sleepy,"Rumor has it that Chemo’s beginnings stretch back to the 1970s in Canada where this heavy indica was allegedly developed to treat the side effects of chemotherapy. Another name for this strain is “UBC Chemo” in reference to the university in which Chemo is said to have been conceived. Chemo’s genetics is carried on by Jordan of the Islands, whose rendition is best known for its subtle woody aroma and potent medicinal effects perfect for patients treating nausea, appetite loss, pain, and sleeplessness. ","sleepy,hungry,relaxed","dizzy,dry mouth,dry eyes","woody,pungent,chestnut","Insomnia
41% of people say it helps with insomnia
Pain
41% of people say it helps with pain
Stress
40% of people say it helps with stress"
1265,Night Terror,https://images.leafly.com/flower-images/defaults/long-fluffy-wispy/strain-13.png,Indica,19.0,0.0,4.610294117647059,berry,sleepy,"Night Terror, also known as ""Night Terror OG,"" is a calming indica marijuana strain made by crossing Blue Dream with Rare Darkness. This strain produces effects that are buzzy, tingly and relaxing - ideal for melting away stress after a long day. Night Terror tastes like blueberries with subtle notes of lemon, pine, and diesel. This strain is a one-size-fits-all, ideal for both new and experienced cannabis consumers. Medical marijuana patients choose this strain to help relieve symptoms associated with chronic stress and insomnia. Growers say Night Terror has an average flowering time of 90 days and produces lime green buds. Night Terror is 70% indica and 30% sativa.","sleepy,relaxed,hungry","dry mouth,dry eyes,dizzy","berry,grape,blueberry","Stress
46% of people say it helps with stress
Insomnia
41% of people say it helps with insomnia
Anxiety
36% of people say it helps with anxiety"
1266,Comatose OG,https://images.leafly.com/flower-images/defaults/short-dense-heavy/strain-10.png,Indica,,,4.666666666666667,,,"Comatose OG is a more sleepy type of OG Kush, often found in Canada by Mainland Cannabis. This indica-dominant strain is reported to be a cross of OG Kush and another strain, likely a heavy indica. Comatose OG should have OG Kush’s dense, resinous look, piney, musky smell, and strong, THC-driven effects; this strain will only have trace levels of CBD. Sometimes abbreviated as just “Comatose,” there’s also a Coma Cookies from Enlightened Genetics that crosses GSC and Bruce Banner 2.0. And since “comatose” can describe the sleepy effects of cannabis, many things might be labeled with that moniker. Consumers report using Comatose OG for anxiety, depression, insomnia, sleep, and stress.","tingly,hungry,relaxed",,,
1267,Alien Breath,https://images.leafly.com/flower-images/defaults/purple/strain-23.png,Hybrid,22.0,0.0,4.8,skunk,sleepy,"Alien Breath is a rich mixture of hybrid genetics. It crosses POGO (Purple Alien OG x Goji OG) and Berry Breath (Blackberry x Grateful Breath), and exemplifies strong OG elements alongside its tangy, fruity undertones. This plant has an average flowering time of 8 to 9 weeks, and has been known to flourish indoors. This esoteric cultivar is hard to find, but is well worth the search, as its unique terpene profile and robust effects are not to be missed.","sleepy,tingly,relaxed",,"skunk,citrus,earthy","Insomnia
28% of people say it helps with insomnia
Stress
28% of people say it helps with stress
PTSD
28% of people say it helps with ptsd"
1268,Rare Dankness #1,https://images.leafly.com/flower-images/defaults/short-dense-heavy/strain-20.png,Indica,12.0,0.0,4.84375,sage,giggly,"Colorado breeders Rare Dankness created this staple of their breeding program by crossing Ghost OG with Chemdawg. They then backcrossed the resulting plant with Ghost OG, and then crossed that with the Florida clone-only strain Triangle Kush. Rare Dankness #1 is the prized male selected from this endeavor, bringing heavy resin production, Chem-style growth, and a bit of OG flavor to whatever strain it pollinates. It has been used in the breeding of many of RD’s prized hybrids, including Scott’s OG, 501st OG, Commerce City Kush, Rare Darkness, and many others.  ","giggly,sleepy,relaxed","dry mouth,paranoid,dizzy","sage,berry,tree fruit","Pain
53% of people say it helps with pain
Anxiety
42% of people say it helps with anxiety
Depression
34% of people say it helps with depression"
1269,Sunset Octane,https://images.leafly.com/flower-images/defaults/generic/strain-31.png,Hybrid,,,4.75,,,"Sunset Octane is a hybrid weed strain. Reviewers on Leafly say this strain makes them feel euphoric, hungry, and happy. If you've smoked, dabbed, or otherwise enjoyed this strain, Sunset Octane, before let us know! Leave a review.","euphoric,hungry,happy",,"blue cheese,butter,ammonia","Depression
15% of people say it helps with depression
Pain
15% of people say it helps with pain
Anxiety
15% of people say it helps with anxiety"
1270,Kashmir Kush,https://images.leafly.com/flower-images/defaults/generic/strain-13.png,Indica,11.0,0.0,4.6,coffee,relaxed,"Kashmir Kush is an indica-dominant cannabis strain that offers mid-weight sedation and dreamy euphoria. Leading with a complex aroma of burnt wood and ground pepper, it leaves a sweet mixture of coffee, mint, and caramel on the exhale. Enjoy Kashmir Kush later in the day, as its deeply relaxating effects are paired best with blankets and a movie.","relaxed,sleepy,euphoric","paranoid,anxious,dry mouth","coffee,mint,earthy","Anxiety
34% of people say it helps with anxiety
Insomnia
27% of people say it helps with insomnia
Depression
24% of people say it helps with depression"
1271,Medusa,https://images.leafly.com/flower-images/defaults/generic/strain-7.png,Hybrid,14.0,0.0,3.972602739726027,blueberry,sleepy,"Medusa mixes smooth, sweet flavors with an earthy aroma of fresh blueberries to create a compelling hybrid. Using their strain Misty, Nirvana Seeds has developed a strong mix of sedating body effects with balanced and clear cerebral activity. Medical consumers appreciate Medusa’s ability to combat sleep issues and body pains.","sleepy,creative,talkative","paranoid,dry eyes,anxious","blueberry,lavender,tea","Stress
33% of people say it helps with stress
Anxiety
32% of people say it helps with anxiety
Insomnia
27% of people say it helps with insomnia"
1272,Diamond Dust,https://images.leafly.com/flower-images/defaults/generic/strain-33.png,Hybrid,23.0,0.0,4.7,pepper,energetic,"Diamond Dust is a hybrid marijuana strain. We’re still learning about the flavors and effects of Diamond Dust. If you’ve smoked this strain before, tell us about it by leaving a review.","energetic,uplifted,focused","dizzy,dry eyes,dry mouth","pepper,nutty,citrus","Anxiety
27% of people say it helps with anxiety
Depression
20% of people say it helps with depression
Stress
20% of people say it helps with stress"
1273,Deep Breath,https://images.leafly.com/flower-images/defaults/purple/strain-23.png,Hybrid,14.0,0.0,4.777777777777778,nutty,hungry,"Deep Breath by Baked Beanz is a deep mixture of “Breath” strains. This massive genetic cross starts with Alien Breath, which is a cross of POGO (Purple Alien OG x Goji OG) and Berry Breath (Blackberry x Grateful Breath). Alien Breath is then crossed with a GG4 x Mendo Breath hybrid, deepening the potent and pungent attributes native to this ancestry. This strain is a slugger, hitting the consumer hard in both effect and fragrance. The aroma is a mixture of astringent chemicals and berries that meld together to form a loud, room-filling fragrance. Its flowering cycle is between 8 and 9 weeks long.","hungry,energetic,happy",,"nutty,peach,rose","Cramps
12% of people say it helps with cramps
Pain
12% of people say it helps with pain
Anxiety
12% of people say it helps with anxiety"
1274,Mango Sapphire,https://images.leafly.com/flower-images/defaults/red-orange-amber/strain-3.png,Hybrid,24.0,0.0,4.71875,mango,happy,"Bred by Humboldt Seed Organization, Mango Sapphire is a complex indica-dominant cross with Bubba’s Gift, OG Kush, and Afghan genetics. Dense green buds contrast beautifully with its stark white trichomes and orange pistils. Mango Sapphire is deliciously fruity in aroma and flavor, with notes of exotic fruits like coconut, mango, and citrus.","happy,relaxed,sleepy",,"mango,sweet,tropical","Anxiety
36% of people say it helps with anxiety
Stress
27% of people say it helps with stress
Depression
22% of people say it helps with depression"
1275,Peach OG,https://images.leafly.com/flower-images/defaults/generic/strain-36.png,Hybrid,18.0,0.0,4.714285714285714,peach,energetic,"Peach OG is a hybrid weed strain. Reviewers on Leafly say this strain makes them feel energetic, creative, and aroused. Peach OG has 18% THC. The dominant terpene in this strain is limonene. If you've smoked, dabbed, or otherwise enjoyed this strain, Peach OG, before let us know! Leave a review.","energetic,creative,aroused",,"peach,tea,tree fruit","Stress
28% of people say it helps with stress
Cramps
14% of people say it helps with cramps
Depression
14% of people say it helps with depression"
1276,Holy Grail,https://images.leafly.com/flower-images/defaults/generic/strain-3.png,Hybrid,20.0,0.0,4.444444444444445,tea,tingly,"Holy Grail is a hybrid marijuana strain. We're still learning about the flavors and effects of Holy Grail - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.","tingly,aroused,happy","dry eyes,headache,anxious","tea,coffee,mint","Anxiety
19% of people say it helps with anxiety
Pain
9% of people say it helps with pain
Migraines
9% of people say it helps with migraines"
1277,Tropicali,https://images.leafly.com/flower-images/defaults/frosty/strain-5.png,Hybrid,18.0,0.0,4.35,tropical,aroused,"Tropicali, also known as ""Tropicali OG"" and ""Tropicali Kush,"" is a newer hybrid marijuana strain on the market. Known to provide an uplifting and cerebral high this strain can also be used for the relief of mild aches and pains. The flowers of the Tc have an alluring frosty mint green color with minimal twists of orange and sticky dewy looking trichomes.","aroused,energetic,euphoric","paranoid,dry mouth,anxious","tropical,pineapple,mango","Anxiety
34% of people say it helps with anxiety
Stress
31% of people say it helps with stress
Pain
25% of people say it helps with pain"
1278,Wedding Mints #11,https://images.leafly.com/flower-images/defaults/generic/strain-3.png,Hybrid,,,4.454545454545454,,,"Wedding Mints no. 11 is a hybrid marijuana strain. We're still learning about the flavors and effects of Wedding Mints no. 11 - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.","tingly,aroused,euphoric","anxious,dry eyes,dry mouth","peach,mint,pineapple","Anxiety
50% of people say it helps with anxiety
Depression
25% of people say it helps with depression
Migraines
25% of people say it helps with migraines"
1279,Royal Cookies,https://images.leafly.com/flower-images/defaults/red-orange-amber/strain-2.png,Hybrid,,,4.25,,,"Royal Cookies is an indica-dominant hybrid marijuana strain made from a double cross of Girl Scout Cookies. This strain is hard to find, but worth the search if you really enjoy cookie strains. Royal Cookies produces long-lasting effects that tend to come on slowly. You can expect this strain to make you feel relaxed, blissful, and perhaps a bit tingly. Royal Cookies features a buttery, nutty flavor profile with undertones of vanilla. Medical marijuana patients turn to this strain to relieve symptoms associated with fatigue, stress, and headaches. Royal Cookies is best enjoyed during late afternoon or evening hours as this strain is known to put consumers into a couch-lock. According to growers, this strain flowers into neon green buds with bright orange hairs and glittering trichomes. Royal Cookies was originally bred by Royal Queen Seeds. If you've smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.","tingly,relaxed,sleepy","dry eyes,paranoid,dizzy","vanilla,woody,citrus","Pain
40% of people say it helps with pain
Inflammation
30% of people say it helps with inflammation
Anxiety
30% of people say it helps with anxiety"
1280,Grape Krush,https://images.leafly.com/flower-images/defaults/purple/strain-5.png,Indica,,,4.111111111111111,,,"Grape Krush (or Grape Crush) is an indica-heavy hybrid strain with just enough sativa to keep the high energizing and smooth. This plant was bred by DJ Short to be an outdoor grower, but with the right TLC, Grape Krush delivers indoors as well. The strain comes from Blueberry parents and inherited their purple to blue coloring and their namesake berry flavor. Grape Krush plants flower in 8-9 weeks, and the buds are intended to produce a slow-moving high that relaxes the body and inspires the mind.","sleepy,hungry,tingly","dry eyes,dry mouth,dizzy","grape,lavender,ammonia","Stress
42% of people say it helps with stress
Pain
40% of people say it helps with pain
Anxiety
34% of people say it helps with anxiety"
1281,Captain America OG,https://images.leafly.com/flower-images/defaults/generic/strain-26.png,Hybrid,,,4.575757575757576,,,"Captain America OG is a sativa-leaning OG cut with uplifting euphoria and a bright citrus flavor. Relieving anxiety without the debilitating weight of heavier OG crosses, call on “The Captain” for relief of stress as well as nausea, mild physical pain, and muscle spasms. This strain’s moderate body effects and complementary euphoria make it ideal for use any time of the day with mindful dosage.  ","euphoric,talkative,giggly","anxious,dry mouth,paranoid","orange,pineapple,citrus","Depression
33% of people say it helps with depression
Stress
26% of people say it helps with stress
Anxiety
26% of people say it helps with anxiety"
1282,Vortex,https://images.leafly.com/flower-images/defaults/generic/strain-29.png,Sativa,17.0,0.0,4.318840579710145,mango,energetic,"Vortex by Subcool's The Dank is a 80/20 sativa-dominant strain whose potency will pull you into a whirling mass of euphoria like a cosmic riptide. Its celestial parents Space Queen and Apollo 13 pass on a sweet and sour lemon aroma accented by notes of tropical mango, while its inherited effects can range from racy and energetic to heavy and disorienting. The staggering THC content of Vortex has won this sativa several awards including High Times' Best Sativa in 2010 and the High Times ""Top 10"" in 2007. ","energetic,uplifted,euphoric","dry eyes,dry mouth,headache","mango,lemon,pear","Stress
44% of people say it helps with stress
Anxiety
35% of people say it helps with anxiety
Depression
30% of people say it helps with depression"
1283,Viper Cookies,https://images.leafly.com/flower-images/defaults/purple/strain-15.png,Hybrid,18.0,0.0,4.533333333333333,butter,tingly,"Viper Cookies is an indica-dominant hybrid marijuana strain made by crossing Girl Scout Cookies with Viper. This strain is extremely potent and best reserved for experienced cannabis consumers. Smoking Viper Cookies produces instantaneous effects that lift your spirits and erase worry. You'll feel relaxed, blissful, and even a bit tingly in all the right places. In small doses, this strain is ideal after a long day when you want to unwind. In large doses, Viper Cookies may sedate you and leave you locked to your sofa. In terms of negative effects, some consumers say this strain may give you a serious case of cottonmouth, so plan on keeping water handy while you partake. Medical marijuana patients choose this strain to help relieve symptoms associated with insomnia, stress, depression, and anxiety. Viper Cookies features a tasty flavor profile that is sweet, spicy, and fruity with herbal undertones. According to growers, this strain flowers into long buds with purple and green foliage and a crystal-like coating of trichomes. Viper Cookies was originally bred by Moxie 710. If you've smoked, dabbed, or consumed this strain before, tell us about your experience by leaving a review.","tingly,sleepy,happy",,"butter,blueberry,apple","Pain
20% of people say it helps with pain
Depression
13% of people say it helps with depression
Headaches
13% of people say it helps with headaches"
1284,Lemon Butter,https://images.leafly.com/flower-images/defaults/generic/strain-35.png,,19.0,0.0,4.785714285714286,lemon,hungry,"Lemon Butter is a weed strain. Reviewers on Leafly say this strain makes them feel hungry, creative, and tingly. Lemon Butter has 19% THC and 1% CBG. The dominant terpene in this strain is terpinolene. If you've smoked, dabbed, or otherwise enjoyed this strain, Lemon Butter, before let us know! Leave a review.","hungry,creative,tingly","dizzy,headache,paranoid","lemon,sage,butter","Anxiety
21% of people say it helps with anxiety
Fatigue
14% of people say it helps with fatigue
Headaches
14% of people say it helps with headaches"
1285,Alien Mints,https://images.leafly.com/flower-images/defaults/generic/strain-2.png,Hybrid,23.0,0.0,4.5,mint,aroused,"Alien Mints is a hybrid weed strain made by crossing Animal Mints and . Reviewers on Leafly say this strain makes them feel aroused, focused, and talkative. Alien Mints has 23% THC. The dominant terpene in this strain is limonene. If you've smoked, dabbed, or otherwise enjoyed this strain, Alien Mints, before let us know! Leave a review.","aroused,focused,talkative",,"mint,apricot,ammonia","Fatigue
16% of people say it helps with fatigue
Nausea
16% of people say it helps with nausea
Stress
16% of people say it helps with stress"
1286,Eleven Roses,https://images.leafly.com/flower-images/defaults/generic/strain-5.png,Indica,,,4.532258064516129,,,"Eleven Roses is an indica marijuana strain. We’re still learning about the effects of Eleven Roses. If you’ve smoked this strain before, tell us about it by leaving a review.","sleepy,relaxed,hungry","headache,dizzy,paranoid","rose,lavender,earthy","Stress
23% of people say it helps with stress
Insomnia
21% of people say it helps with insomnia
Pain
21% of people say it helps with pain"
1287,Biscotti Gelato,https://images.leafly.com/flower-images/defaults/generic/strain-37.png,Hybrid,,,4.461538461538462,,,"Biscotti Gelato is a hybrid weed strain. Reviewers on Leafly say this strain makes them feel euphoric, relaxed, and uplifted. If you've smoked, dabbed, or otherwise enjoyed this strain, Biscotti Gelato, before let us know! Leave a review.","euphoric,relaxed,uplifted",,"ammonia,coffee,tree fruit","Inflammation
15% of people say it helps with inflammation
Cramps
7% of people say it helps with cramps
Depression
7% of people say it helps with depression"
1288,Purple Pineapple Express,https://images.leafly.com/flower-images/defaults/purple/strain-3.png,Hybrid,20.0,0.0,4.266666666666667,pineapple,hungry,"Purple Pineapple Express is a hybrid marijuana strain. We're still learning about the flavors and effects of Purple Pineapple Express - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.","hungry,relaxed,sleepy","headache,dizzy,dry eyes","pineapple,tropical,lavender","Depression
25% of people say it helps with depression
Anxiety
25% of people say it helps with anxiety
Pain
14% of people say it helps with pain"
1289,Black Magic Kush,https://images.leafly.com/flower-images/defaults/red-orange-amber/strain-4.png,Indica,,,4.5,,,"Black Magic Kush is an indica-dominant strain with mysterious and arcane genetics. With jade green foliage and bright orange pistils, Black Magic Kush looks nearly as good as it tastes. Exhibiting a terpene profile soaked in sweetness, berry, and herbaceous overtones, Black Magic Kush delivers a pleasurable variety of flavors, aromas, and effects that help nullify stress and encourage rest. Utilize this strain at the end of the day to make the most of its sleep-inducing qualities.     ","sleepy,relaxed,euphoric",,"berry,coffee,chemical","Anxiety
33% of people say it helps with anxiety
Insomnia
26% of people say it helps with insomnia
Migraines
26% of people say it helps with migraines"
1290,RedBull,https://images.leafly.com/flower-images/defaults/generic/strain-35.png,Hybrid,6.0,9.0,4.75,nutty,talkative,"RedBull, also known as Red Bull, Red Bull Kush, and Red Bull OG,, is a hybrid weed strain. Reviewers on Leafly say this strain makes them feel talkative, focused, and creative. RedBull has 9% CBD and 6% THC. The dominant terpene in this strain is myrcene. If you've smoked, dabbed, or otherwise enjoyed this strain, RedBull, before let us know! Leave a review.","talkative,focused,creative",,,
1291,Money Maker,https://images.leafly.com/flower-images/defaults/generic/strain-13.png,Indica,10.0,0.0,4.5,nutty,sleepy,"Money Maker, also known as ""Money Bush"" and ""Money Kush,"" is a hybrid marijuana strain made from a blend of three of the finest old school cannabis varieties. Breeder Strain Hunters has mixed the potency and vitality of Master Kush and Hindu Kush in combination with the vigorous growth and sweet flavors of Skunk #1 to form an indica-dominant cross that can be appreciated by cultivators and connoisseurs alike. Its aroma is a sharp mixture of spiced berries and piney kush. Money Maker provides an earthy mix of flavors reminiscent of dried fruits and roasted nuts that produce immediate relaxing effects. A good choice for insomnia or to stimulate your appetite, Money Maker is a strain that many reserve for the end of their day. ","sleepy,hungry,relaxed","dry eyes,dizzy,paranoid","nutty,spicy/herbal,earthy","Stress
45% of people say it helps with stress
Insomnia
43% of people say it helps with insomnia
Pain
40% of people say it helps with pain"
